"","County","Population","Area","PD","PDR","Factor","CRI"
"0","BARINGO","666763",11075.3,60.2,0.71,0.00951,0.02902
"1","BOMET","875689",1997.9,438.3,5.2,0.06927,0.21127
"2","BUNGOMA","1670570",2206.9,756.98,8.98,0.11963,0.36487
"3","BUSIA","893681",1628.4,548.81,6.51,0.08673,0.26453
"4","ELGEYO/MARAKWET","454480",3049.7,149.02,1.77,0.02355,0.07183
"5","EMBU","608599",2555.9,238.12,2.82,0.03763,0.11478
"6","GARISSA","841353",45720.2,18.4,0.22,0.00291,0.00887
"7","HOMA BAY","1131950",3154.7,358.81,4.26,0.05671,0.17295
"8","ISIOLO","268002",25336.1,10.58,0.13,0.00167,0.0051
"9","KAJIADO","1117840",21292.7,52.5,0.62,0.0083,0.02531
"10","KAKAMEGA","1867579",3033.8,615.59,7.3,0.09729,0.29672
"11","KERICHO","901777",2454.5,367.4,4.36,0.05806,0.17709
"12","KIAMBU","2417735",2449.2,987.15,11.71,0.15601,0.47582
"13","KILIFI","1453787",12245.9,118.72,1.41,0.01876,0.05722
"14","KIRINYAGA","610411",1205.4,506.4,6.01,0.08003,0.24409
"15","KISII","1266860",1317.9,961.27,11.4,0.15192,0.46334
"16","KISUMU","1155574",2009.5,575.06,6.82,0.09088,0.27719
"17","KITUI","1136187",24385.1,46.59,0.55,0.00736,0.02246
"18","KWALE","866820",8270.3,104.81,1.24,0.01656,0.05052
"19","LAIKIPIA","518560",8696.1,59.63,0.71,0.00942,0.02874
"20","LAMU","143920",6497.7,22.15,0.26,0.0035,0.01068
"21","MACHAKOS","1421932",5952.9,238.86,2.83,0.03775,0.11513
"22","MAKUENI","987653",8008.9,123.32,1.46,0.01949,0.05944
"23","MANDERA","867457",25797.7,33.63,0.4,0.00531,0.01621
"24","MARSABIT","459785",66923.1,6.87,0.08,0.00109,0.00331
"25","MERU","1545714",6930.1,223.04,2.65,0.03525,0.10751
"26","MIGORI","1116436",2586.4,431.66,5.12,0.06822,0.20807
"27","MOMBASA","1208333",212.5,5686.27,67.43,0.89864,2.74085
"28","MURANG'A","0",0,0,0,0,0
"29","NAIROBI CITY","4397073",694.9,6327.63,75.04,1,3.04999
"30","NAKURU","2162202",7509.5,287.93,3.41,0.0455,0.13879
"31","NANDI","885711",2884.5,307.06,3.64,0.04853,0.14801
"32","NAROK","1157873",17921.2,64.61,0.77,0.01021,0.03114
"33","NYAMIRA","605576",912.5,663.64,7.87,0.10488,0.31988
"34","NYANDARUA","638289",3107.7,205.39,2.44,0.03246,0.099
"35","NYERI","759164",2361,321.54,3.81,0.05082,0.15499
"36","SAMBURU","310327",20182.5,15.38,0.18,0.00243,0.00741
"37","SIAYA","993183",2496.1,397.89,4.72,0.06288,0.19179
"38","TAITA/TAVETA","340671",17083.9,19.94,0.24,0.00315,0.00961
"39","TANA RIVER","315943",35375.8,8.93,0.11,0.00141,0.0043
"40","THARAKA-NITHI","393177",2409.5,163.18,1.94,0.02579,0.07865
"41","TRANS NZOIA","0",0,0,0,0,0
"42","TURKANA","926976",71597.8,12.95,0.15,0.00205,0.00624
"43","UASIN GISHU","990341",2469.9,400.96,4.76,0.06337,0.19327
"44","VIHIGA","590013",531.3,1110.51,13.17,0.1755,0.53528
"45","WAJIR","781263",55840.6,13.99,0.17,0.00221,0.00674
"46","WEST POKOT","621241",8418.2,73.8,0.88,0.01166,0.03557
